,Date,PAR,SST,site
1,2003-12-01,41,27,A
3,2004-02-01,44,25,A
4,2004-03-01,56,35,A
5,2004-04-01,56,35,A
6,2004-05-01,58,24,A
7,2004-06-01,58,33,A
8,2004-07-01,48,32,A
9,2004-08-01,47,34,A
10,2004-09-01,51,32,A
11,2004-10-01,43,20,A
12,2004-11-01,56,29,A
13,2004-12-01,44,28,A
14,2005-01-01,40,33,A
15,2005-02-01,57,24,A
16,2005-03-01,46,35,A
17,2005-04-01,51,30,A
18,2005-05-01,58,26,A
19,2005-06-01,59,26,A
20,2005-07-01,57,32,A
21,2005-08-01,59,35,A
22,2005-09-01,48,23,A
23,2005-10-01,42,23,A
24,2005-11-01,52,22,A
25,2005-12-01,50,21,A
26,2006-01-01,51,21,A
27,2006-02-01,47,28,A
28,2006-03-01,59,33,A
29,2006-04-01,43,23,A
30,2006-05-01,56,26,A
31,2006-06-01,45,26,A
32,2006-07-01,60,22,A
33,2006-08-01,44,25,A
34,2006-09-01,51,33,A
35,2006-10-01,54,32,A
36,2006-11-01,54,31,A
37,2006-12-01,55,27,A
38,2007-01-01,46,33,A
39,2007-02-01,59,31,A
40,2007-03-01,45,33,A
41,2007-04-01,55,27,A
42,2007-05-01,54,28,A
43,2007-06-01,57,26,A
44,2007-07-01,55,28,A
45,2007-08-01,55,31,A
46,2007-09-01,51,23,A
47,2007-10-01,51,21,A
48,2007-11-01,60,23,A
49,2007-12-01,54,27,A
50,2008-01-01,47,32,A
51,2008-02-01,57,20,A
52,2008-03-01,46,35,A
53,2008-04-01,55,35,A
54,2008-05-01,56,23,A
55,2008-06-01,58,35,A
56,2008-07-01,50,23,A
57,2008-08-01,57,30,A
58,2008-09-01,55,28,A
59,2008-10-01,51,21,A
60,2008-11-01,46,27,A
61,2008-12-01,55,30,A
62,2009-01-01,59,28,A
63,2009-02-01,44,31,A
64,2009-03-01,60,30,A
65,2009-04-01,59,34,A
66,2009-05-01,53,22,A
67,2009-06-01,59,22,A
68,2009-07-01,49,21,A
69,2009-08-01,57,25,A
70,2009-09-01,41,27,A
71,2009-10-01,57,26,A
72,2009-11-01,41,30,A
73,2009-12-01,58,35,A
74,2010-01-01,40,21,A
75,2010-02-01,45,27,A
76,2010-03-01,46,35,A
77,2010-04-01,45,25,A
78,2010-05-01,59,21,A
79,2010-06-01,60,28,A
80,2010-07-01,40,29,A
81,2010-08-01,53,30,A
82,2010-09-01,52,20,A
83,2010-10-01,49,26,A
84,2010-11-01,58,25,A
85,2010-12-01,45,29,A
86,2011-01-01,56,25,A
87,2011-02-01,49,28,A
88,2011-03-01,50,21,A
89,2011-04-01,46,30,A
90,2011-05-01,45,30,A
91,2011-06-01,59,26,A
92,2011-07-01,51,32,A
93,2011-08-01,40,21,A
94,2011-09-01,51,31,A
95,2011-10-01,46,23,A
96,2011-11-01,42,24,A
97,2011-12-01,46,25,A
98,2012-01-01,43,31,A
99,2012-02-01,40,26,A
100,2012-03-01,58,32,A
101,2012-04-01,49,31,A
102,2012-05-01,52,21,A
103,2012-06-01,51,22,A
104,2012-07-01,52,31,A
105,2012-08-01,51,28,A
106,2012-09-01,50,23,A
107,2012-10-01,47,25,A
108,2012-11-01,49,31,A
109,2012-12-01,57,35,A
110,2013-01-01,51,35,A
111,2013-02-01,42,30,A
112,2013-03-01,49,22,A
113,2013-04-01,40,29,A
114,2013-05-01,46,25,A
115,2013-06-01,53,23,A
116,2013-07-01,49,23,A
117,2013-08-01,45,29,A
118,2013-09-01,49,28,A
119,2013-10-01,59,20,A
120,2013-11-01,43,22,A
121,2013-12-01,58,22,A
122,2014-01-01,43,28,A
123,2014-02-01,56,23,A
124,2014-03-01,49,28,A
125,2014-04-01,41,25,A
126,2014-05-01,58,31,A
127,2014-06-01,43,35,A
128,2014-07-01,49,33,A
129,2014-08-01,47,31,A
130,2014-09-01,48,22,A
131,2014-10-01,57,33,A
132,2014-11-01,55,24,A
133,2014-12-01,58,31,A
134,2003-12-01,45,30,B
135,2004-01-01,47,29,B
136,2004-02-01,53,27,B
137,2004-03-01,45,28,B
138,2004-04-01,52,29,B
139,2004-05-01,53,29,B
140,2004-06-01,53,27,B
141,2004-07-01,48,25,B
142,2004-08-01,49,26,B
143,2004-09-01,52,30,B
144,2004-10-01,52,26,B
145,2004-11-01,55,26,B
146,2004-12-01,47,25,B
147,2005-01-01,53,29,B
148,2005-02-01,49,29,B
149,2005-03-01,50,27,B
150,2005-04-01,51,25,B
151,2005-05-01,54,26,B
152,2005-06-01,50,30,B
153,2005-07-01,55,30,B
154,2005-08-01,52,30,B
155,2005-09-01,50,25,B
156,2005-10-01,52,30,B
157,2005-11-01,52,29,B
158,2005-12-01,54,30,B
159,2006-01-01,45,28,B
160,2006-02-01,47,30,B
161,2006-03-01,55,30,B
162,2006-04-01,49,28,B
163,2006-05-01,45,27,B
164,2006-06-01,51,27,B
165,2006-07-01,46,29,B
166,2006-08-01,47,26,B
167,2006-09-01,49,25,B
168,2006-10-01,48,27,B
169,2006-11-01,48,26,B
170,2006-12-01,49,28,B
171,2007-01-01,53,26,B
172,2007-02-01,47,25,B
173,2007-03-01,46,29,B
174,2007-04-01,52,30,B
175,2007-05-01,51,26,B
176,2007-06-01,49,28,B
177,2007-07-01,48,27,B
178,2007-08-01,45,25,B
179,2007-09-01,48,29,B
180,2007-10-01,49,29,B
181,2007-11-01,45,27,B
182,2007-12-01,52,29,B
183,2008-01-01,46,30,B
184,2008-02-01,50,26,B
185,2008-03-01,53,29,B
186,2008-04-01,55,26,B
187,2008-05-01,52,25,B
188,2008-06-01,47,26,B
189,2008-07-01,47,25,B
190,2008-08-01,54,27,B
191,2008-09-01,46,28,B
192,2008-10-01,50,30,B
193,2008-11-01,47,30,B
194,2008-12-01,48,28,B
195,2009-01-01,49,29,B
196,2009-02-01,47,27,B
197,2009-03-01,49,28,B
198,2009-04-01,46,26,B
199,2009-05-01,49,30,B
200,2009-06-01,51,30,B
201,2009-07-01,46,30,B
202,2009-08-01,52,29,B
203,2009-09-01,54,25,B
204,2009-10-01,51,27,B
205,2009-11-01,51,26,B
206,2009-12-01,54,25,B
207,2010-01-01,49,30,B
208,2010-02-01,53,25,B
209,2010-03-01,48,27,B
210,2010-04-01,52,28,B
211,2010-05-01,55,29,B
212,2010-06-01,54,29,B
213,2010-07-01,52,28,B
214,2010-08-01,51,27,B
215,2010-09-01,54,29,B
216,2010-10-01,52,30,B
217,2010-11-01,47,28,B
218,2010-12-01,46,27,B
219,2011-01-01,51,29,B
220,2011-02-01,48,27,B
221,2011-03-01,47,30,B
222,2011-04-01,47,29,B
223,2011-05-01,51,30,B
224,2011-06-01,55,28,B
225,2011-07-01,54,25,B
226,2011-08-01,48,29,B
227,2011-09-01,49,25,B
228,2011-10-01,50,28,B
229,2011-11-01,46,29,B
230,2011-12-01,55,29,B
231,2012-01-01,51,28,B
232,2012-02-01,50,26,B
233,2012-03-01,53,30,B
234,2012-04-01,49,26,B
235,2012-05-01,51,28,B
236,2012-06-01,53,30,B
237,2012-07-01,54,28,B
238,2012-08-01,50,29,B
239,2012-09-01,51,27,B
240,2012-10-01,50,25,B
241,2012-11-01,51,28,B
242,2012-12-01,49,27,B
243,2013-01-01,50,26,B
244,2013-02-01,45,26,B
245,2013-03-01,46,28,B
246,2013-04-01,52,30,B
247,2013-05-01,48,25,B
248,2013-06-01,48,25,B
249,2013-07-01,52,27,B
250,2013-08-01,50,27,B
251,2013-09-01,54,28,B
252,2013-10-01,55,27,B
253,2013-11-01,46,27,B
254,2013-12-01,49,28,B
255,2014-01-01,47,27,B
256,2014-02-01,47,26,B
257,2014-03-01,46,30,B
258,2014-04-01,49,25,B
259,2014-05-01,51,27,B
260,2014-06-01,54,29,B
261,2014-07-01,54,28,B
262,2014-08-01,47,26,B
263,2014-09-01,47,29,B
264,2014-10-01,53,29,B
265,2014-11-01,49,26,B
266,2014-12-01,55,26,B
267,2003-12-01,42,25,C
268,2004-01-01,32,21,C
269,2004-02-01,37,21,C
270,2004-03-01,50,23,C
271,2004-04-01,48,17,C
272,2004-05-01,44,17,C
273,2004-06-01,38,27,C
274,2004-07-01,31,15,C
275,2004-08-01,38,19,C
276,2004-09-01,45,23,C
277,2004-10-01,31,18,C
278,2004-11-01,31,27,C
279,2004-12-01,45,27,C
280,2005-01-01,37,24,C
281,2005-02-01,45,28,C
282,2005-03-01,47,26,C
283,2005-04-01,46,16,C
284,2005-05-01,39,20,C
285,2005-06-01,32,21,C
286,2005-07-01,40,21,C
287,2005-08-01,50,18,C
288,2005-09-01,38,18,C
289,2005-10-01,39,26,C
290,2005-11-01,48,30,C
291,2005-12-01,40,24,C
292,2006-01-01,34,24,C
293,2006-02-01,47,18,C
294,2006-03-01,33,17,C
295,2006-04-01,41,30,C
296,2006-05-01,43,21,C
297,2006-06-01,46,24,C
298,2006-07-01,34,24,C
299,2006-08-01,44,19,C
300,2006-09-01,31,15,C
301,2006-10-01,43,29,C
302,2006-11-01,43,29,C
303,2006-12-01,46,16,C
304,2007-01-01,41,22,C
305,2007-02-01,49,21,C
306,2007-03-01,50,19,C
307,2007-04-01,33,19,C
308,2007-05-01,41,19,C
309,2007-06-01,47,20,C
310,2007-07-01,30,28,C
311,2007-08-01,34,20,C
312,2007-09-01,42,27,C
313,2007-10-01,37,15,C
314,2007-11-01,32,18,C
315,2007-12-01,30,18,C
316,2008-01-01,41,28,C
317,2008-02-01,34,21,C
318,2008-03-01,45,19,C
319,2008-04-01,33,22,C
320,2008-05-01,34,21,C
321,2008-06-01,46,18,C
322,2008-07-01,40,20,C
323,2008-08-01,38,28,C
324,2008-09-01,48,25,C
325,2008-10-01,35,17,C
326,2008-11-01,32,23,C
327,2008-12-01,43,18,C
328,2009-01-01,50,20,C
329,2009-02-01,31,18,C
330,2009-03-01,42,29,C
331,2009-04-01,39,22,C
332,2009-05-01,48,24,C
333,2009-06-01,48,15,C
334,2009-07-01,39,27,C
335,2009-08-01,40,21,C
336,2009-09-01,45,22,C
337,2009-10-01,35,15,C
338,2009-11-01,48,19,C
339,2009-12-01,36,28,C
341,2010-02-01,50,21,C
342,2010-03-01,31,16,C
343,2010-04-01,34,20,C
344,2010-05-01,39,26,C
345,2010-06-01,42,22,C
346,2010-07-01,31,16,C
347,2010-08-01,50,28,C
348,2010-09-01,50,17,C
349,2010-10-01,34,16,C
350,2010-11-01,42,26,C
351,2010-12-01,38,27,C
352,2011-01-01,47,28,C
353,2011-02-01,32,15,C
354,2011-03-01,50,21,C
355,2011-04-01,38,18,C
356,2011-05-01,48,29,C
357,2011-06-01,42,16,C
358,2011-07-01,31,17,C
